objectid,bin,st_number,st_unit,unit_type,predir,st_name,suffix,postdir,zip,use_type,last_edited_user,last_edited_date,master_address_id,parcel_number,use_code,style,grade,ext_walls,roof,flooring,bsmt_type,heating,fireplace,year_built,no_of_stories,total_rooms,bedrooms,half_bathrooms,full_bathrooms,basement_garage,sq_footage_finished_living,basement,finished_basement
6027,123605531,908,NA,NA,NA,WOODFOLK,DR,NA,22902,R,NA,NA,6027,290177000,Parking Lot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
6028,123885569,910,NA,NA,NA,RAYMOND,RD,NA,22902,R,NA,NA,6028,290178100,Parking Lot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
6029,125355773,508,NA,NA,NA,ROUGEMONT,AVE,NA,22902,R,NA,NA,6029,290178200,Parking Lot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
6030,70808604,442,NA,NA,NA,MEADE,AVE,NA,22902,R,NA,NA,6030,290179000,Parking Lot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
6031,71548648,439,NA,NA,NA,MEADE,AVE,NA,22902,R,NA,NA,6031,290180000,Single Family,2 Story,D +,Vinyl,Shingles,Hardwood,Full Basement,Hot Water Radiator,0,1925,2,6,3,0,1,0,1144,488,478
6032,577916942,814,NA,NA,NA,HARDY,DR,NA,22903,R,NA,NA,6032,290181000,Single Family,2 Story,C,Stucco,Metal,Hardwood,Full Basement,Hot Water Radiator,0,1920,2,6,3,0,1,0,1442,721,0
6033,577916694,829,NA,NA,NA,HARDY,DR,NA,22903,R,NA,NA,6033,290182000,Single Family,2 Story,C,Stucco,Metal,Hardwood,Partial Basement,Floor Furnace,0,1925,2,8,4,0,1,0,1872,400,0
6034,84629135,372,NA,NA,NA,RIVERSIDE,AVE,NA,22902,R,NA,NA,6034,290183000,Single Family,1 Story,C,Stucco,Shingles,Hardwood,Full Basement,Heat Pump,1,1957,1,5,3,0,1,0,1008,1008,600
6035,84639094,109,NA,NA,NA,CHISHOLM,PL,NA,22902,R,NA,NA,6035,290184000,Single Family,2 Story,C,Vinyl,Metal,Hardwood,Partial Basement,Forced Air,0,1925,2,9,4,0,2,0,2070,394,0
6036,85759146,427,NA,NA,NA,RIVERSIDE,AVE,NA,22902,R,NA,NA,6036,290185000,Single Family,1.5 Story,C,Aluminum,Shingles,Hardwood,Partial Basement,Forced Air,1,1922,1.5,5,3,0,2,0,1483,413,0
6037,85799141,100,NA,NA,NA,CHISHOLM,PL,NA,22902,R,NA,NA,6037,290186000,Single Family,1 Story,C,Vinyl,Shingles,Hardwood,Full Basement,Forced Air,0,1964,1,6,3,0,1,0,867,867,433
6038,86109165,103,NA,NA,NA,CHISHOLM,PL,NA,22902,R,NA,NA,6038,290187000,Single Family,2 Story,C -,Vinyl,Metal,Hardwood,No Basement,Forced Air,0,1945,2,7,2,1,1,0,1472,NA,NA
6039,87199223,409,NA,NA,NA,RIVERSIDE,AVE,NA,22902,R,NA,NA,6039,290188000,Single Family,2 Story,B -,Stucco,Metal,Hardwood,No Basement,Forced Air,0,1945,2,7,3,0,1,0,1432,NA,NA
6406,7046264,317,A,APT,NA,MONTEBELLO,CIR,NA,22903,R,NA,NA,6406,300019J4A,Condominium,1 Story,B,Brick Veneer,Shingles,Vinyl,No Basement,Heat Pump,0,2004,1,5,2,0,2,NA,1161,0,0
6562,230812800,1505,NA,NA,NA,RUGBY,AVE,NA,22903,R,NA,NA,6562,300160300,Single Family,1 Story,C,Vinyl,Shingles,W/W Carpet,No Basement,Heat Pump,0,2000,1,5,3,0,1,0,1008,NA,NA
6572,282213440,1828,NA,NA,NA,WAYSIDE,PL,NA,22903,R,NA,NA,6572,300163110,Single Family Attached,1 Story,C,Vinyl,Shingles,None,No Basement,Heat Pump,0,2003,1,3,1,0,1,0,578,0,0
6573,283413442,804,NA,NA,NA,RUGBY,RD,NA,22903,R,NA,NA,6573,300163120,Single Family Attached,1 Story,C,Vinyl,Shingles,None,No Basement,Heat Pump,0,2003,1,3,1,0,1,0,578,0,0
6574,283513459,1819,NA,NA,NA,EDGEWOOD,LN,NA,22903,R,NA,NA,6574,300163200,Single Family Attached,1 Story,C,Vinyl,Shingles,None,No Basement,Heat Pump,0,2003,1,3,1,0,1,0,578,0,0
6575,124695697,2524,NA,NA,NA,WILLARD,DR,NA,22903,R,NA,NA,6575,300163300,Single Family Attached,1 Story,C,Vinyl,Shingles,None,No Basement,Heat Pump,0,2003,1,3,1,0,1,0,578,0,0
6576,124795786,425,NA,NA,NA,MOSELEY,DR,NA,22903,R,NA,NA,6576,300163400,Single Family Attached,1 Story,C,Vinyl,Shingles,None,No Basement,Heat Pump,0,2003,1,3,1,0,1,0,578,0,0
6577,325314068,783,NA,NA,NA,MADISON,AVE,NA,22903,R,NA,NA,6577,300163500,Single Family Attached,2 Story,C,Vinyl,Shingles,W/W Carpet,No Basement,Heat Pump,0,1998,2,5,3,1,1,0,1200,0,0
6578,325313897,745,NA,NA,NA,MADISON,AVE,NA,22903,R,NA,NA,6578,300163600,Single Family Attached,2 Story,C,Vinyl,Shingles,W/W Carpet,No Basement,Heat Pump,0,1998,2,5,3,1,1,0,1200,0,0
6579,325313897,749,NA,NA,NA,MADISON,AVE,NA,22903,R,NA,NA,6579,300163700,Single Family Attached,1 Story,C,Vinyl,Shingles,None,No Basement,Heat Pump,0,2003,1,3,1,0,1,0,578,0,0
6580,325313945,723,NA,NA,NA,MADISON,AVE,NA,22903,R,NA,NA,6580,300163800,Single Family Attached,1 Story,C,Vinyl,Shingles,None,No Basement,Heat Pump,0,2003,1,3,1,0,1,0,578,0,0
6581,325313897,751,NA,NA,NA,MADISON,AVE,NA,22903,R,NA,NA,6581,300163900,Single Family Attached,2 Story,C,Vinyl,Shingles,Hardwood,No Basement,Heat Pump,0,1999,2,5,3,1,2,0,1200,0,0
6592,49107952,1304,NA,NA,NA,BELLEVIEW,AVE,NA,22901,R,NA,NA,6592,300168400,Duplex,2 Story,C,Wood,Shingles,Hardwood,No Basement,Baseboard,0,1967,2,10,6,0,2,0,1776,0,0
6593,419314887,2001,NA,NA,NA,MINOR,RD,NA,22903,R,NA,NA,6593,300168500,Single Family,2 Sty Attached,D +,Wood,Shingles,Hardwood,No Basement,Heat Pump,1,1983,2,6,3,1,2,0,1260,NA,NA
6610,137937303,303,NA,NA,NA,CAMELLIA,DR,NA,22903,R,NA,NA,6610,310032000,Single Family,2 Story,D,Stucco,Metal,W/W Carpet,No Basement,Heat Pump,0,1940,2,7,3,0,2,0,1680,0,0
6611,991017442,100,NA,NA,NA,OLINDA,DR,NA,22903,R,NA,NA,6611,310035000,Single Family,2 Story,B,Stucco,Shingles,Hardwood,No Basement,Heat Pump,0,1920,2,9,3,0,3,0,1735,NA,NA
6612,111864058,823,NA,NA,NA,ORANGEDALE,AVE,NA,22903,R,NA,NA,6612,310036000,Single Family,2 Story,C,Vinyl,Metal,Hardwood,No Basement,Forced Air,0,1920,2,6,4,0,2,0,1748,0,0
6613,111934120,618,NA,NA,NA,BAILEY,RD,NA,22903,R,NA,NA,6613,310037000,Single Family,2 Story,C,Wood,Architectural Shingles,Hardwood,No Basement,Forced Air,0,1870,2,10,6,0,3,0,2335,NA,NA
6614,113994395,812,NA,NA,NA,PROSPECT,AVE,NA,22903,R,NA,NA,6614,310042000,Single Family,2 Story,D,Stucco,Shingles,Hardwood,No Basement,Hot Water Radiator,0,1905,2,8,3,0,2,0,2200,NA,NA
6615,111123953,805,NA,NA,NA,PROSPECT,AVE,NA,22903,R,NA,NA,6615,310044000,Single Family,2 Story,B,Stucco,Metal,Hardwood,No Basement,Forced Air,0,1940,2,9,3,0,3,0,2613,NA,NA
6616,138057316,304,NA,NA,NA,CAMELLIA,DR,NA,22903,R,NA,NA,6616,310045000,Single Family,1 Story,D,Wood,Shingles,Hardwood,No Basement,Forced Air,1,1940,1,6,3,0,2,0,1111,0,0
6617,137907296,302,NA,NA,NA,CAMELLIA,DR,NA,22903,R,NA,NA,6617,310046000,Vacant Land,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
6618,137607257,112,NA,NA,NA,SHASTA,CT,NA,22903,R,NA,NA,6618,310049000,Vacant Land,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
6619,137827277,114,NA,NA,NA,SHASTA,CT,NA,22903,R,NA,NA,6619,310050000,Single Family,2 Story,B,Vinyl,Metal,Hardwood,No Basement,NA,0,1900,2,7,3,0,2,0,1601,NA,NA
6620,136527168,105,NA,NA,NA,SHASTA,CT,NA,22903,R,NA,NA,6620,310051000,Single Family,2 Story,C,Stucco,Metal,Hardwood,No Basement,Hot Water Radiator,0,1925,2,8,4,0,1,0,1854,NA,NA
6621,136407154,103,NA,NA,NA,SHASTA,CT,NA,22903,R,NA,NA,6621,310052000,Parking Lot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
6622,136717152,208,NA,NA,NA,CAMELLIA,DR,NA,22903,R,NA,NA,6622,310071000,Vacant Land,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
6625,7581587,1020,NA,NA,NA,GROVE,ST,NA,22903,R,NA,NA,6625,310075000,Single Family,2 Story,D,Stucco,Shingles,Hardwood,No Basement,Gas Wall Unit,0,1925,2,7,3,0,1,0,2038,0,0
6627,124535700,2622,NA,NA,NA,JEFFERSON PARK,CIR,NA,22903,R,NA,NA,6627,310077000,Vacant Land,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
6628,125505768,2628,NA,NA,NA,JEFFERSON PARK,CIR,NA,22903,R,NA,NA,6628,310078000,Single Family,2 Story,C,Asbestos,Metal,Hardwood,No Basement,Forced Air,1,1920,2,7,4,1,1,0,1848,NA,NA
6629,125775843,2634,NA,NA,NA,JEFFERSON PARK,CIR,NA,22903,R,NA,NA,6629,310079000,Single Family,2 Story,D,Stucco,Shingles,Hardwood,No Basement,Gas Wall Unit,0,1925,2,7,3,0,2,0,2071,NA,NA
6631,443015196,621,NA,NA,NA,BOOKER,ST,NA,22903,R,NA,NA,6631,310081000,Single Family,2 Story,C,Stucco,Metal,Hardwood,No Basement,Heat Pump,0,1925,2,8,5,0,2,0,2036,0,0
6632,462115349,616,NA,NA,NA,BOOKER,ST,NA,22903,R,NA,NA,6632,310082000,Single Family,2 Story,C -,Vinyl,Shingles,Linoleum,No Basement,Forced Air,0,1991,2,6,3,0,1,0,896,NA,NA
6643,36310226,2303,NA,NA,NA,SHELBY,DR,NA,22901,R,NA,NA,6643,310091000,Single Family,2 Story,B,Stucco,Shingles,Hardwood,No Basement,Hot Water Radiator,0,1925,2,6,3,0,1,0,1502,0,0
6645,42010302,2204,NA,NA,NA,SHELBY,DR,NA,22901,R,NA,NA,6645,310093000,Single Family,2 Story,B -,Vinyl,Architectural Shingles,Hardwood,No Basement,Heat Pump,2,1925,2,7,3,1,2,0,1938,NA,NA
6646,42310295,2209,NA,NA,NA,SHELBY,DR,NA,22901,R,NA,NA,6646,310094000,Duplex,2 Story,B,Stucco,Metal,Hardwood,No Basement,Baseboard,0,1925,2,8,4,0,2,0,1564,0,0
6647,53410454,1712,NA,NA,NA,ESSEX,RD,NA,22901,R,NA,NA,6647,310095000,Single Family,2 Story,D,Aluminum,Metal,Hardwood,No Basement,Floor Furnace,0,1925,2,8,3,0,1,0,1498,NA,NA
6648,54810509,1703,NA,NA,NA,ESSEX,RD,NA,22901,R,NA,NA,6648,310096000,Single Family,1.5 Story,D,Concrete Block,Shingles,Hardwood,Partial Basement,Floor Furnace,1,1951,1.5,6,3,1,1,0,1082,297,0
6649,59110539,1609,NA,NA,NA,JAMESTOWN,DR,NA,22901,R,NA,NA,6649,310097000,Single Family,2 Story,D,Masonite,Architectural Shingles,Hardwood,No Basement,Heat Pump,0,1925,2,6,2,1,1,0,1100,NA,NA
6650,59510527,1804,NA,NA,NA,YORKTOWN,DR,NA,22901,R,NA,NA,6650,310098000,Single Family,2 Story,D,Stucco,Metal,Hardwood,No Basement,Floor Furnace,0,1925,2,6,3,1,1,0,1649,0,0
6651,65710610,1800,NA,NA,NA,YORKTOWN,DR,NA,22901,R,NA,NA,6651,310099000,Duplex,2 Story,D,Aluminum,Metal,Hardwood,No Basement,Baseboard,0,1925,2,10,4,0,2,0,1712,0,0
6652,100611039,132,NA,NA,NA,BRANDYWINE,CT,NA,22901,R,NA,NA,6652,310100000,Duplex,2 Story,D,Aluminum,Metal,Hardwood,No Basement,Gas Wall Unit,0,1925,2,10,5,0,2,0,2002,0,0
6653,491115582,1004,NA,NA,NA,WEST,ST,NA,22903,R,NA,NA,6653,310102000,Single Family-3 Conversion,2 Story,C,Stucco,Shingles,Hardwood,No Basement,Heat Pump,0,1940,2,10,4,0,2,0,1800,NA,NA
6654,7764743,324,NA,NA,NA,7 1/2,ST,SW,22903,R,NA,NA,6654,310102000,Single Family-3 Conversion,2 Story,C,Vinyl,Shingles,Tile,No Basement,Heat Pump,0,1950,2,9,3,0,2,0,1400,NA,NA
6658,560716301,311,NA,NA,NA,PARKWAY,ST,NA,22902,R,NA,NA,6658,310105000,Single Family,2 Story,D,Stucco,Metal,Hardwood,No Basement,Forced Air,0,1925,2,4,2,0,1,0,906,0,0
