RecordID_Int,ParcelNumber,UseCode,Style,Grade,ExtWalls,Roof,Flooring,BsmtType,Heating,Fireplace,YearBuilt,NoOfStories,TotalRooms,Bedrooms,HalfBathrooms,FullBathrooms,BasementGarage,SqFootageFinishedLiving,Basement,FinishedBasement
7229,340044000,Single Family,2 Story,B,Brick Veneer,Shingles,Hardwood,Full Basement,Heat Pump,1,1930,2.00,8,4,1,2,0,2168,1084,176
7230,340045000,Single Family,2 Story,B,Brick Veneer,Shingles,Hardwood,Full Basement,Hot Water Radiator,1,1930,2.00,8,6,0,3,1,2881,1133,0
7231,340046000,Single Family,1 Story,C,Concrete Block,Shingles,Hardwood,No Basement,Heat Pump,1,1951,1.00,4,2,0,1,0,748,0,0
7232,340047000,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,0,1956,1.00,6,3,1,1,0,1023,1023,337
7233,340048000,Single Family,1 Story,C,Concrete Block,Shingles,Hardwood,No Basement,Hot Water Radiator,0,1955,1.00,6,3,0,2,0,1075,0,0
7234,340049000,Single Family,2 Story,B,Brick Veneer,Shingles,Hardwood,Partial Basement,Hot Water Radiator,1,1930,2.00,7,4,0,2,1,1462,626,0
7235,340050000,Single Family,1 Story,C,Asbestos,Shingles,Hardwood,Partial Basement,Forced Air,0,1948,1.00,6,2,0,1,0,768,236,0
7236,340051000,Single Family,1 Story,C,Wood,Shingles,Hardwood,Partial Basement,Forced Air,1,1944,1.00,6,2,0,1,0,1071,431,0
7237,340052000,Single Family,1 Story,C,Concrete Block,Architectural Shingles,Hardwood,Partial Basement,Heat Pump,1,1946,1.00,5,2,0,1,1,1228,506,
7238,340053000,Single Family,2 Story,B,Brick Veneer,Shingles,Hardwood,Full Basement,Hot Water Radiator,1,1934,2.00,7,3,1,3,0,1722,966,576
7239,340054000,Single Family-1 Conversion,2 Story,B,Brick Veneer,Shingles,Hardwood,Full Basement,Hot Water Radiator,1,1930,2.00,10,4,1,3,0,1820,672,504
7240,340055000,Single Family,1 Story,C,Aluminum,Shingles,Hardwood,Partial Basement,Forced Air,1,1949,1.00,7,3,1,1,1,1408,582,0
7241,340056000,Single Family,1 Story,B,Asbestos,Shingles,Hardwood,Full Basement,Forced Air,0,1955,1.00,7,3,0,2,0,1090,478,0
7242,340057000,Single Family,1 Story,B,Wood,Shingles,Hardwood,Partial Basement,Forced Air,1,1950,1.00,5,2,0,1,0,1351,100,0
7243,340058000,Single Family,1 Story,B,Vinyl,Shingles,Hardwood,No Basement,Hot Water Radiator,1,1950,2.00,8,1,0,1,0,1978,0,0
7244,340058100,Vacant Land,,,,,,,,,,,,,,,,,0,0
7245,340059000,Single Family,2 Story,B,Brick Veneer,Shingles,Hardwood,Partial Basement,Hot Water Radiator,1,1930,2.00,8,4,0,2,0,1608,624,0
7246,340060000,Single Family,1 Story,B,Brick Veneer,Shingles,Tile,Partial Basement,Hot Water Radiator,1,1930,1.00,5,2,1,1,0,1336,668,149
7247,340061000,Single Family,1.5 Story,B,Stucco,Shingles,Hardwood,Partial Basement,Hot Water Radiator,1,1910,1.50,8,4,0,2,0,2082,361,0
7248,340062000,Single Family,1 Story,B,Concrete Block - Tex Face,Shingles,Hardwood,Full Basement,Hot Water Radiator,1,1951,1.00,6,2,1,2,0,1674,734,484
7249,340063000,Single Family,1 Story,B,Aluminum,Shingles,Hardwood,Partial Basement,Hot Water Radiator,1,1950,1.00,6,3,0,1,0,1120,840,
7250,340064000,Single Family,1 Story,B,Brick Veneer,Shingles,None,Partial Basement,Heat Pump,1,1952,1.00,6,4,0,2,1,1743,641,0
7251,340065000,Single Family,2.5 Story,B,Brick Veneer,Shingles,Tile,Full Basement,Forced Air,1,1945,2.50,8,4,0,2,1,1985,794,397
7252,340066000,Single Family,1.5 Story,C +,Stucco,Shingles,Hardwood,Partial Basement,Hot Water Radiator,1,1958,1.50,6,2,0,2,0,1942,819,
7253,340067000,Single Family Attached,1 Story,B,Wood,Shingles,Hardwood,Partial Basement,Hot Water Radiator,2,1945,1.00,7,3,0,2,0,1775,1090,0
7254,340068000,Single Family,2 Story,B +,Stucco,Architectural Shingles,Hardwood,Partial Basement,Hot Water Radiator,1,1925,2.00,6,3,0,1,0,1306,312,
7255,340069000,Single Family,1 Story,B,Aluminum,Shingles,Hardwood,Full Basement,Hot Water Radiator,1,1950,1.00,6,2,1,2,0,1117,1117,838
7256,340070000,Single Family,1.5 Story,B,Aluminum,Shingles,Hardwood,Cellar,Forced Air,1,1938,1.50,7,4,1,2,0,2201,436,
7257,340071000,Single Family,1 Story,B,Brick Veneer,Shingles,Hardwood,Partial Basement,Hot Water Radiator,0,1925,1.00,5,2,0,1,0,892,446,
7258,340071100,Single Family,2.5 Story,B,Wood,Shingles,None,No Basement,Heat Pump,0,2004,2.50,7,3,1,2,0,2390,,
7259,340072000,Single Family,2 Story,B,Brick Veneer,Shingles,Hardwood,Partial Basement,Hot Water Radiator,1,1935,2.00,6,3,1,2,1,1732,687,500
7260,340073000,Single Family,2 Story,B,Brick Veneer,Shingles,Hardwood,Partial Basement,Hot Water Radiator,2,1945,2.00,10,4,1,2,0,3384,280,0
7261,340074000,Single Family,1.5 Story,B,Wood,Shingles,Hardwood,No Basement,Heat Pump,1,1980,1.66,8,3,0,3,0,2151,0,0
7262,340075000,Single Family,2 Story,A,Brick Veneer,Shingles,Hardwood,Partial Basement,Heat Pump,2,1929,2.00,9,4,1,3,0,3481,1281,0
7263,340076000,Single Family,2 Story,B,Brick Veneer,Shingles,Hardwood,Partial Basement,Hot Water Radiator,1,1930,2.00,8,4,1,3,0,3077,719,0
7264,340077000,Single Family,2.5 Story,A,Brick Veneer,Asbestos,Hardwood,Partial Basement,Hot Water Radiator,2,1930,2.50,12,4,0,4,0,4500,359,0
7265,340078000,Single Family,2 Story,A,Brick Veneer,Shingles,Hardwood,Full Basement,Hot Water Radiator,1,1931,2.00,9,4,0,2,0,2612,1123,
7266,340079000,Single Family,2 Story,A,Brick Veneer,Shingles,Hardwood,Full Basement,Hot Water Radiator,1,1925,2.00,7,3,1,2,1,2576,1619,
7267,340080000,Single Family,1.5 Story,B,Wood,Shingles,Hardwood,Cellar,Forced Air,1,1952,1.50,6,3,0,2,0,1558,520,0
7268,340081000,Single Family-1 Conversion,1.5 Story,B,Brick Veneer,Shingles,Hardwood,Partial Basement,Hot Water Radiator,1,1947,1.50,8,4,0,3,0,1548,954,760
7269,340082000,Single Family,1.5 Story,B,Aluminum,Shingles,Hardwood,Full Basement,Forced Air,0,1937,1.50,5,3,0,2,0,1266,844,0
7270,340083000,Single Family,1.5 Story,C,Brick Veneer,Shingles,Hardwood,Partial Basement,Heat Pump,1,1937,1.50,12,6,1,3,0,2858,758,
7271,340084000,Single Family-1 Conversion,1 Story,B,Brick Veneer,Shingles,Hardwood,Full Basement,Hot Water Radiator,1,1947,1.00,8,3,0,2,0,1039,1039,772
7272,340085000,Single Family,1.5 Story,B,Brick Veneer,Shingles,Hardwood,Partial Basement,Hot Water Radiator,1,1938,1.50,6,3,0,2,0,1566,512,0
7273,340085100,Vacant Land,,,,,,,,,,,,,,,,,0,0
7274,340086000,Single Family,2 Story,A,Stone,Shingles,Hardwood,Partial Basement,Hot Water Radiator,0,1930,2.00,8,3,0,3,0,3624,790,395
7275,340087000,Vacant Land,,,,,,,,,,,,,,,,,0,0
7276,340089000,Vacant Land,,,,,,,,,,,,,,,,,0,0
7277,340089100,Vacant Land,,,,,,,,,,,,,,,,,0,0
7278,340091000,Vacant Land,,,,,,,,,,,,,,,,,0,0
7279,340555000,Vacant Land,,,,,,,,,,,,,,,,,0,0
7280,350004100,Single Family,1 Story,C,Brick Veneer,Shingles,None,Full Basement,Floor Furnace,1,1940,1.00,4,2,0,1,0,1104,1104,800
7281,350006000,Single Family,2 Story,B,Hardy Board,Shingles,Hardwood,Full Basement,Heat Pump,0,2013,2.00,6,3,1,2,0,1872,936,
7282,350006100,Single Family,2 Story,B,Hardy Board,Shingles,Hardwood,Full Basement,Heat Pump,,2013,2.00,6,3,1,2,0,1872,936,
7283,350007000,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1,1965,1.00,6,3,0,2,0,1091,1107,766
7284,350007100,Single Family,1 Story,C,Aluminum,Shingles,None,Partial Basement,Gas Wall Unit,0,1925,1.00,6,3,0,1,0,503,679,679
7285,350008000,Single Family,1 Story,D,Stucco,Metal,Linoleum,Cellar,Forced Air,0,1925,1.00,5,3,0,1,0,1169,,
7286,350009000,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1,1973,1.00,6,3,0,3,0,1511,1511,672
7287,350011000,Single Family,1.5 Story,C,Aluminum,Metal,None,Partial Basement,Hot Water Radiator,0,1938,1.50,7,3,0,1,0,1464,322,0
7288,350012000,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Partial Basement,Gas Wall Unit,0,1961,1.00,5,2,0,1,0,1047,0,0
7289,350013000,Single Family,1 Story,C,Wood,Metal,None,Full Basement,Forced Air,0,1925,1.00,4,2,0,2,0,780,780,780
7290,350013100,Single Family,2 Story,B,Hardy Board,Shingles,Hardwood,No Basement,Heat Pump,1,2015,2.00,8,3,1,2,,2365,,
7291,350014000,Duplex,1 Story,C,Stucco,Shingles,Hardwood,Full Basement,Forced Air,0,1965,1.00,8,4,0,2,0,1526,1526,0
7292,350014100,Single Family,1 Story,C,Asbestos,Shingles,None,Partial Basement,Forced Air,0,1930,1.00,5,2,0,1,0,1055,195,0
